10000;1540584;10000;3422013;
10000;1506029;10000;3367675;
10000;1501544;10000;3343455;
10000;1484793;10000;3336136;
10000;1467239;10000;3331746;
10000;1468536;10000;3336886;
10000;1491955;10000;3353943;
10000;1474013;10000;3331786;
10000;1485401;10000;3338444;
10000;1470244;10000;3318732;
10000;1494090;10000;3423883;
10000;1497623;10000;3381579;
10000;1649512;10000;3662445;
10000;1665022;10000;3737046;
10000;1847194;10000;4070200;
10000;1869047;10000;4053223;
10000;1798828;10000;4092919;
10000;1553751;10000;3510534;
10000;1634136;10000;3478280;
10000;1739137;10000;3703541;
10000;1566719;10000;3383344;
10000;1631392;10000;3377833;
10000;1590032;10000;3373402;
10000;1650913;10000;3367720;
10000;1642184;10000;3374742;
10000;1661018;10000;3397820;
10000;1706083;10000;3373102;
10000;1711817;10000;3414170;
10000;1766800;10000;3418167;
10000;1761632;10000;3428207;
10000;1753958;10000;3413535;
10000;1808223;10000;3441657;
10000;1764439;10000;3466244;
10000;1855503;10000;3468122;
10000;1846006;10000;3490133;
10000;1963442;10000;3485345;
10000;1990313;10000;3482582;
10000;2012459;10000;3521042;
10000;2097162;10000;3521285;
10000;2384881;10000;3510461;
10000;2236006;10000;3557005;
10000;2148790;10000;3584861;
10000;2050631;10000;3551517;
10000;1883098;10000;3574562;
10000;1840080;10000;3555665;
10000;1965603;10000;3583335;
10000;2097813;10000;3594896;
10000;2252613;10000;3758650;
10000;2234892;10000;3644718;
10000;2304548;10000;3639248;
10000;2278754;10000;3636505;
10000;2259641;10000;3649271;
10000;2335329;10000;3754810;
10000;2367889;10000;3689064;
10000;2405856;10000;3756154;
10000;2227138;10000;3696398;
10000;2123600;10000;3671462;
10000;2177183;10000;3690382;
10000;2293664;10000;3705321;
10000;2575704;10000;3736151;
10000;2662742;10000;3740729;
10000;2601664;10000;3758853;
10000;2709439;10000;3761878;
10000;2873168;10000;3837380;
10000;2681775;10000;3784249;
10000;2805928;10000;3803116;
10000;2918458;10000;3819624;
10000;2823233;10000;3824745;
10000;2955208;10000;3856686;
10000;2931923;10000;3853402;
10000;2661298;10000;3865390;
10000;2662423;10000;3862590;
10000;2761857;10000;3884335;
10000;2715681;10000;3884723;
10000;2599291;10000;3892123;
10000;2544893;10000;3922974;
10000;2562320;10000;3923882;
10000;2920844;10000;3932394;
10000;2866952;10000;3943872;
10000;2848404;10000;3953043;
10000;2634620;10000;3965096;
10000;3013216;10000;4021723;
10000;3086941;10000;4009521;
10000;3358510;10000;4018821;
10000;3046889;10000;4005897;
10000;3190414;10000;4037408;
10000;3367620;10000;4045942;
10000;3357100;10000;4065424;
10000;3412226;10000;4096968;
10000;3425141;10000;4108928;
10000;3525770;10000;4128873;
10000;3611694;10000;4118783;
10000;3681360;10000;4137290;
10000;3820452;10000;4141640;
10000;3741249;10000;4167966;
10000;3697530;10000;4181111;
10000;3942655;10000;4411458;
