100;2598;2598;306217;600;2761;163990;648;389;142547;
200;10109;10109;282154;1400;10533;133551;1572;912;25716;
300;22676;22676;137973;2281;23391;63714;2586;1484;42329;
400;40152;40152;284455;3199;41196;360836;3654;2099;117705;
500;63195;63195;572252;4176;64602;253339;4816;2739;158641;
600;90636;90636;472988;5162;92367;296878;5965;3346;380693;
700;122917;122917;802506;6166;125013;537937;7187;4043;133871;
800;161111;161111;980180;7194;163596;661046;8445;4758;244570;
900;202440;202440;1380178;8276;205329;673628;9814;5418;217850;
1000;251087;251087;1684872;9360;254402;822216;10952;6270;362360;
1100;303391;303391;1868405;10444;307068;1045844;12348;6980;306481;
1200;360949;360949;1883431;11525;365006;1467506;13554;7636;422625;
1300;423416;423416;2689682;12618;427894;1433379;14989;8392;362823;
1400;492212;492212;2995023;13727;497105;1333560;16351;9162;429927;
1500;564409;564409;3386694;14838;569754;2063170;17798;10002;372441;
1600;641431;641431;4302734;15988;647200;2255679;19187;10474;643133;
1700;723877;723877;4280925;17167;730065;2236469;20488;11314;578020;
1800;811663;811663;4864958;18342;818335;2609755;21721;12023;459988;
1900;901345;901345;5144363;19531;908461;2722099;23184;13046;731698;
2000;1000572;1000572;6584248;20712;1008198;2971349;24782;13674;541420;
2100;1105898;1105898;6850075;21910;1113967;3359799;26232;14462;600777;
2200;1213221;1213221;7363702;23080;1221669;3513341;27718;15192;523099;
2300;1324052;1324052;5244546;24271;1332960;2609294;28928;16140;385036;
2400;1442495;1442495;4457967;25444;1451798;2135161;30725;16809;312282;
2500;1565469;1565469;4754490;26638;1575258;2349034;31926;17728;326120;
2600;1689485;1689485;5192736;27838;1699743;2499848;33541;18542;340107;
2700;1824633;1824633;5514786;29055;1835327;2707270;34696;19389;357954;
2800;1966242;1966242;6073249;30262;1977428;2842521;36668;20313;370691;
2900;2103097;2103097;6426519;31471;2114743;3080778;37740;20780;388737;
3000;2251753;2251753;6915455;32681;2263936;3267616;39713;22020;408002;
3100;2401318;2401318;7490971;33912;2414034;3519504;41360;22551;444080;
3200;2563639;2563639;7883150;35189;2576780;3672907;42280;23328;429470;
3300;2724789;2724789;8345394;36461;2738387;3946766;44005;24483;450768;
3400;2893685;2893685;8844954;37733;2907759;4175851;45861;24934;465269;
3500;3063708;3063708;9439013;39013;3078293;4451718;47601;25926;497654;
3600;3241873;3241873;9999147;40289;3257015;4642294;48907;27062;495556;
3700;3421086;3421086;10548997;41574;3436685;4863724;50344;27714;520204;
3800;3605902;3605902;11312630;42859;3622029;5059196;51684;28551;560077;
3900;3803027;3803027;11698514;44138;3819699;5403997;53591;29077;535511;
4000;3999485;3999485;12349158;45423;4016721;5569117;54810;30044;553848;
4100;4197525;4197525;13005200;46739;4215421;5877004;56520;31059;564317;
4200;4405801;4405801;13659362;48000;4424024;6150005;58174;31960;586833;
4300;4631877;4631877;14384414;49289;4650525;6433222;59938;33232;603826;
4400;4845837;4845837;15025699;50557;4864921;6751595;61265;33892;627413;
4500;5070341;5070341;15707535;51841;5089908;7010679;63032;34639;636636;
4600;5293142;5293142;16408053;53138;5313256;7372655;64421;34902;643607;
4700;5529588;5529588;17184740;54406;5550100;7655635;66798;36808;759185;
4800;5766497;5766497;17805224;55705;5787515;8047774;67583;37049;678085;
4900;6008224;6008224;18661584;56974;6029745;8375103;69353;37707;722515;
5000;6254746;6254746;19392408;58275;6276814;8751779;70898;38338;763461;
5100;6498905;6498905;20208881;59555;6521559;8973158;72136;39021;778755;
5200;6775284;6775284;21055633;60873;6798388;9401523;74038;40624;749006;
5300;7027494;7027494;22072680;62168;7051051;9862000;76162;41637;765820;
5400;7288023;7288023;22991120;63476;7312081;10170519;77181;41884;785175;
5500;7567078;7567078;23445196;64804;7591671;10539490;78344;42840;804391;
5600;7830128;7830128;24798648;66110;7855279;10783217;80464;43661;816812;
5700;8122444;8122444;25319518;67430;8148115;11266922;82422;45520;900622;
5800;8424805;8424805;26312677;68740;8450998;11601144;84161;45944;848800;
5900;8712657;8712657;27415750;70041;8739438;11964174;85506;46554;1015623;
6000;9011040;9011040;28223207;71363;9038406;12426309;87730;48139;882824;
6100;9305094;9305094;29199084;72671;9333089;12815270;88708;48534;898231;
6200;9619149;9619149;30240808;74025;9647657;13115736;90820;50104;909409;
