100;2554;2554;1289697;597;2715;736645;690;440;293899;
200;9907;9907;1387830;1397;10328;39225;1625;947;64576;
300;23114;23114;1276971;2278;23830;72137;2555;1562;70829;
400;40263;40263;1784323;3202;41312;108219;3812;2132;520754;
500;63053;63053;898274;4183;64461;556998;4799;2792;74468;
600;91307;91307;902927;5149;93038;199146;6148;3662;887530;
700;124010;124010;463490;6163;126102;260279;7067;4051;103754;
800;159407;159407;710815;7195;161897;331717;8507;4511;128505;
900;205464;205464;652780;8278;208356;908913;9589;5245;142133;
1000;254903;254903;1233153;9377;258232;469826;11060;6133;234080;
1100;302911;302911;2237348;10443;306589;559914;12136;6769;178984;
1200;361391;361391;1207085;11520;365441;1848158;13297;7439;216527;
1300;417553;417553;1501900;12616;422025;1420097;14770;8290;223273;
1400;495168;495168;2838359;13727;500043;1768326;16430;9390;466050;
1500;563389;563389;4061879;14842;568739;2531174;17843;9413;283752;
1600;643357;643357;4477690;15982;649126;2452004;19294;11024;1042792;
1700;724115;724115;6445841;17171;730299;2211484;20026;10490;202276;
1800;806165;806165;6300203;18317;812821;2015863;22102;12656;618759;
1900;901951;901951;6972307;19519;909053;2893907;22988;12479;530215;
2000;1003744;1003744;5670430;20711;1011388;2824773;24740;13500;446264;
2100;1094024;1094024;4087348;21900;1102097;2094628;26157;14499;269587;
2200;1209783;1209783;4607297;23103;1218246;2214332;26815;14483;266011;
2300;1315055;1315055;4562522;24272;1323976;2536071;29657;16472;294240;
2400;1437140;1437140;4816787;25462;1446454;2807589;30054;16299;294994;
2500;1569845;1569845;5830086;26628;1579614;2514803;32574;18142;330622;
2600;1694172;1694172;5921000;27828;1704413;3858284;33638;19546;336505;
2700;1824620;1824620;6763518;29057;1835309;3159845;34509;19517;372385;
2800;1965641;1965641;7115543;30223;1976806;2828726;37030;20135;360239;
2900;2098634;2098634;7378898;31444;2110281;3049071;37464;21045;585575;
3000;2254226;2254226;9046937;32685;2266425;3982550;38980;21590;422152;
3100;2409926;2409926;8492889;33943;2422662;4049461;40455;22597;418639;
3200;2553051;2553051;8519562;35185;2566188;4017252;42407;23237;419854;
3300;2742200;2742200;8672541;36484;2755828;4755195;44535;23698;434474;
3400;2886408;2886408;9337951;37731;2900470;4789729;45502;25669;454189;
3500;3054600;3054600;9537263;39039;3069183;5599463;46902;24994;459234;
3600;3252769;3252769;10554081;40300;3267906;5160436;48614;26133;489137;
3700;3410982;3410982;11994877;41572;3426563;4854344;49499;26765;486144;
3800;3613967;3613967;11784691;42859;3630101;5648161;52489;30152;680105;
3900;3805906;3805906;12813005;44157;3822605;5842279;52543;28216;825098;
4000;3992013;3992013;12775215;45423;4009271;6186156;54903;29984;541347;
4100;4218473;4218473;13761885;46737;4236362;6185383;57939;31865;559856;
4200;4398757;4398757;14919434;48005;4416993;6153077;58549;31820;575223;
4300;4617644;4617644;15740251;49278;4636284;7030369;61168;32641;732281;
4400;4823020;4823020;16082028;50545;4842112;6902155;60117;32494;768497;
4500;5055322;5055322;16800757;51866;5074906;7127736;62942;34443;623170;
4600;5325982;5325982;16760115;53131;5346106;7542573;65168;34082;1520857;
4700;5525751;5525751;17471612;54421;5546290;8664310;66441;36184;650123;
4800;5731415;5731415;18226717;55703;5752432;8506017;69252;36971;673462;
4900;5988071;5988071;19114402;56953;6009566;8902586;69125;37705;683878;
5000;6254946;6254946;19988246;58308;6277033;9358088;70244;39045;749855;
5100;6520693;6520693;20713062;59553;6543323;9943356;74279;41121;715085;
5200;6791706;6791706;21271288;60861;6814817;10345692;73802;40693;722024;
5300;7041309;7041309;22789734;62180;7064880;10527138;76366;42191;751216;
5400;7315583;7315583;22990871;63489;7339659;11188310;76658;41841;914470;
5500;7532894;7532894;27057005;64796;7557470;12840265;77669;42346;770269;
5600;7859920;7859920;25342235;66158;7885104;11080592;79848;44683;794535;
