100;2632;2632;1242677;604;2796;1478334;754;472;1246194;
200;10323;10323;1496288;1394;10738;1890446;1725;1012;2422555;
300;23062;23062;3383408;2293;23761;2585294;2580;1517;105410;
400;41670;41670;7694065;3179;42690;779840;3381;2166;142971;
500;62795;62795;1430263;4171;64195;3800218;4515;2313;170453;
600;92984;92984;8866770;5178;94731;1389816;6529;3734;241939;
700;117435;117435;2628526;6127;119518;1815724;7998;4435;6030770;
800;160808;160808;3539945;7217;163301;20282104;8832;4593;449773;
900;198899;198899;16107916;8255;201755;9097357;10477;5408;364531;
1000;250845;250845;9327754;9354;254154;536287;10618;6514;431368;
1100;301092;301092;11475408;10489;304791;2794451;11426;5953;13562187;
1200;349795;349795;24821675;11494;353852;636367;13054;7286;8621284;
1300;426430;426430;27069089;12560;430905;1570318;14347;8068;219045;
1400;484439;484439;1308232;13684;489335;839683;15996;9652;248000;
1500;579195;579195;1612008;14849;584556;13638581;17087;8466;240256;
1600;642130;642130;5738555;16080;647957;1089687;19945;9630;303075;
1700;743738;743738;5368594;17125;749928;9123717;19264;9611;280382;
1800;826131;826131;2221654;18312;832841;1347847;22390;12711;375332;
1900;906016;906016;2452953;19524;913147;1453166;22820;12481;324356;
2000;987125;987125;2687809;20800;994800;1564428;25100;12534;4280189;
2100;1107332;1107332;3173770;21911;1115398;1715755;27276;16038;387385;
2200;1200945;1200945;3269853;23114;1209425;1856842;26516;14716;378218;
2300;1310152;1310152;3544774;24224;1319039;7295870;28066;15243;443832;
2400;1440973;1440973;4423791;25455;1450300;2246982;29702;15397;6464512;
2500;1571837;1571837;7712981;26646;1581648;3151548;34874;16285;461064;
2600;1691718;1691718;4742947;27803;1701957;2587538;36526;20204;522331;
2700;1851315;1851315;5157263;29051;1862022;2771988;33547;16464;448280;
2800;1977755;1977755;11438558;30257;1988947;7970138;35522;17509;517863;
2900;2139382;2139382;12660315;31439;2151048;4741725;35606;19106;506972;
3000;2268754;2268754;12174163;32721;2280984;3415228;37965;21295;549693;
3100;2386576;2386576;12770654;33867;2399214;6712864;43537;25209;606510;
3200;2554916;2554916;7866993;35197;2568071;3746517;46537;26326;631858;
3300;2720893;2720893;10939432;36539;2734537;4012862;46356;25707;642469;
3400;2857049;2857049;17612719;37705;2871149;4941444;46999;26366;795890;
3500;2993698;2993698;26512783;39007;3008310;5433146;45019;27672;696251;
3600;3216650;3216650;12375916;40271;3231810;4726656;46869;22792;641898;
3700;3419286;3419286;23943740;41577;3434937;5089574;52899;28888;729995;
3800;3589707;3589707;19042502;42859;3605852;7274739;49425;26069;698786;
3900;3790017;3790017;28146261;44089;3806641;9472960;49594;28644;740295;
4000;3989310;3989310;13412212;45547;4006585;5772700;50231;27000;729764;
4100;4159336;4159336;22055648;46789;4177247;6070535;55992;31103;799156;
4200;4461816;4461816;22623926;48019;4480042;6776835;58576;32044;820978;
4300;4535692;4535692;22226092;49283;4554388;7407872;60248;30877;813954;
4400;4905662;4905662;24589093;50698;4924836;7128432;67057;38770;945684;
4500;5060270;5060270;34942062;51809;5079795;8335602;61625;34358;913183;
4600;5406778;5406778;45024237;53087;5426889;13664290;65894;36128;925085;
4700;5589388;5589388;40481329;54405;5609931;24246874;62673;34429;650794;
4800;5803658;5803658;25560576;55730;5824708;18033247;72754;41409;680761;
4900;6114862;6114862;48347431;56916;6136405;9348594;72379;37947;673087;
5000;6329396;6329396;19771194;58304;6351481;16720507;67975;38034;672946;
5100;6559792;6559792;34837734;59518;6582447;9045268;73912;35690;693074;
5200;6704057;6704057;21153407;61033;6727233;16214116;70834;36842;732069;
5300;7040149;7040149;26100310;62274;7063695;13838301;75083;36709;705147;
5400;7397295;7397295;30953156;63551;7421309;10231428;80654;41106;730876;
