100;648;390;16198;602;199;20634;
200;1560;911;39739;1353;413;16067;
300;2578;1488;34619;2287;701;13673;
400;3666;2103;39449;3201;1027;15681;
500;4810;2738;50576;4217;1310;20414;
600;5986;3393;72023;5041;1441;30322;
700;7191;4069;77145;6409;1907;29496;
800;8432;4748;89105;6856;1846;30065;
900;9702;5451;101902;8341;2407;38752;
1000;10976;6146;113574;9668;2539;40908;
1100;12307;6888;125510;10497;2735;44130;
1200;13623;7607;142276;11575;3406;52213;
1300;14947;8348;155073;12893;4083;59619;
1400;16317;9079;167451;13784;4289;62846;
1500;17700;9849;182261;15127;4432;66599;
1600;19091;10615;193874;15787;4628;70101;
1700;20462;11353;210207;16849;4776;72977;
1800;21877;12131;280198;18102;4926;102425;
1900;23288;12919;237869;19307;5122;84976;
2000;24713;13690;250664;20904;5606;88717;
2100;26175;14488;269705;22697;6410;100662;
2200;27610;15287;279634;24323;6985;109379;
2300;29075;16082;297593;24464;6653;108838;
2400;30559;16866;311227;24572;6352;104263;
2500;32018;17690;327300;25948;6763;110689;
2600;33532;18489;338144;27741;7562;121122;
2700;34969;19290;351575;29497;8122;130843;
2800;36483;20130;365979;30904;8320;136277;
2900;37961;20921;382538;32342;8485;138995;
3000;39516;21772;397944;33978;8617;142921;
3100;41055;22599;411761;35571;8825;147651;
3200;42562;23433;430030;36679;9010;152540;
3300;44133;24283;443790;36988;9305;154105;
3400;45640;25098;459000;37342;9563;159276;
3500;47176;25900;472387;38910;11398;177545;
3600;48712;26769;492472;40690;11341;180803;
3700;50285;27590;505209;42356;13190;200089;
3800;51861;28494;521188;43757;13396;204313;
3900;53412;29303;547094;45161;13542;211471;
4000;55017;30182;553480;46100;13807;214291;
4100;56539;31007;565927;47005;14106;217838;
4200;58130;31830;581785;48328;14267;222146;
4300;59752;32748;599292;49725;14473;223739;
4400;61304;33614;615287;51251;14604;226427;
4500;62900;34455;631189;52855;14798;232057;
4600;64502;35293;650219;54486;14964;239388;
4700;66063;36209;675020;55068;15178;245498;
4800;67736;37090;679820;55363;15485;246031;
4900;69329;37876;694601;56176;15685;252257;
5000;71003;38850;713934;57574;15883;257961;
5100;72566;39687;731390;59023;16034;261470;
5200;74190;40574;785672;60481;16185;277406;
5300;75820;41449;759543;61893;16383;270214;
5400;77445;42330;773963;63292;16586;273266;
5500;79042;43173;792050;64587;16889;282852;
5600;80733;44113;919126;65969;17106;331916;
5700;82369;44964;1081766;67414;17275;364932;
5800;84109;45858;1003168;68819;17481;355996;
5900;85666;46773;1051194;70695;18022;372907;
6000;87331;47631;970499;72675;18812;350925;
6100;88957;48520;892508;74709;19560;327525;
6200;90724;49526;974671;76620;20450;357420;
6300;92395;50382;1082559;78557;21314;403360;
6400;93975;51286;1035840;80589;22048;397634;
6500;95650;52095;992122;82569;22846;387537;
6600;97364;53030;1185521;83941;23138;461468;
6700;99047;53990;1079413;84265;22855;417137;
6800;100673;54858;1046192;84630;22521;385980;
6900;102369;55759;1143383;84895;22266;416542;
7000;104064;56725;1226963;85105;22066;429682;
7100;105714;57572;1245499;85429;21774;427188;
7200;107430;58530;1375237;85738;21486;460743;
7300;109101;59458;1153335;86321;21258;381368;
7400;110842;60430;1114643;88346;22004;377872;
7500;112498;61264;1122973;90333;22791;385053;
7600;114153;62187;1141503;92321;23582;397427;
7700;115874;63028;1168903;94201;24478;417361;
7800;117633;64059;1169701;96183;25271;418873;
7900;119350;64946;1221851;98184;26051;444554;
8000;120998;65880;1214225;100206;26806;440436;
8100;122761;66692;1223187;101950;27045;439859;
8200;124522;67837;1247345;103550;27261;451711;
8300;126183;68650;1263161;105182;27440;452241;
8400;127969;69526;1285297;106689;27747;461149;
8500;129696;70515;1295629;108243;28007;460389;
8600;131297;71399;1311132;109904;28157;469000;
8700;133164;72428;1326963;111515;28356;470725;
8800;134766;73249;1353526;113269;28508;478518;
8900;136594;74323;1363760;115054;28711;480116;
9000;138381;75243;1390557;116902;28853;485658;
9100;140058;76204;1395132;118652;29112;492180;
9200;141773;77102;1412108;120362;29411;495600;
9300;143457;77983;1437466;122185;29576;500387;
9400;145320;78924;1452213;123970;29785;503971;
9500;147078;79886;1466830;125503;29944;508034;
9600;148774;80845;1574941;126017;30236;563060;
9700;150439;81701;1513431;126541;30515;520735;
9800;152247;82685;1534964;127048;30819;525976;
9900;153961;83624;1537238;127462;31219;525981;
10000;155712;84486;1551620;127987;31526;528773;
