426;295;10100;;237;131;3734
915;609;52374;;586;309;7161
1418;945;46039;;877;457;44704
1944;1273;45929;;1037;547;48423
2472;1611;66430;;1025;543;12681
2946;1911;187965;;1503;787;18233
3522;2290;110393;;1593;840;39075
4043;2609;252171;;2050;1053;23960
4596;2955;151755;;2091;1093;24348
5175;3313;293674;;2524;1313;43075
5693;3648;138937;;2646;1335;139635
6219;3972;267410;;2699;1346;70534
6787;4355;174648;;2972;1557;33913
7296;4673;210604;;3360;1741;131415
7874;5029;375634;;3668;1961;62797
8384;5344;336388;;3473;1707;38937
8962;5704;332447;;4019;2008;85751
9525;6052;251196;;3939;2065;168385
10044;6373;384115;;4249;2296;184524
10668;6750;333406;;4418;2171;104605
11207;7090;330615;;4384;2175;131451
11721;7413;310493;;4177;1933;202186
12299;7786;386740;;4868;2393;161479
12895;8156;454450;;5363;2608;97871
13389;8473;495261;;5530;2785;147069
13935;8819;561616;;5240;2599;75014
14475;9156;565883;;5970;3001;181058
15043;9514;523942;;6178;3092;183107
15576;9847;681029;;6326;3267;72716
16220;10249;715733;;5810;2774;130502
16766;10592;565096;;6778;3569;119107
17205;10860;498613;;6294;3059;124907
17906;11313;588182;;6741;3444;165470
18381;11597;904791;;6843;3356;137368
18900;11901;483306;;7869;4106;177915
19547;12310;625712;;7291;3428;278168
20146;12675;728865;;8491;4643;345480
20681;13007;613654;;7615;3707;220326
21349;13424;764249;;8893;4617;193563
21860;13722;774932;;9118;4650;366388
22346;14041;772766;;9087;4625;100883
22924;14388;778706;;9199;4571;141584
23509;14759;807939;;9434;4872;260290
24128;15143;702592;;9983;5237;253400
24670;15487;639423;;9649;4880;264465
25198;15806;713566;;9816;4816;320105
25848;16219;766512;;9831;4616;187455
26421;16572;666294;;10200;4999;195954
26985;16920;735584;;11644;6024;165276
27483;17231;749717;;10533;4984;160580
28142;17647;833264;;10554;5197;211602
28672;17979;767889;;10738;5468;312260
29228;18342;665589;;12220;6540;374234
29745;18662;828477;;11555;5810;156607
30295;19006;811564;;11290;5391;172917
30832;19339;795966;;11564;5887;225379
31408;19693;833901;;11928;5908;289407
31905;19999;977342;;12487;6441;370172
32603;20435;860388;;12694;6487;324405
33136;20752;784086;;11936;5841;334332
33767;21156;863663;;13299;7037;242208
34142;21381;1172834;;13560;7090;154778
34903;21887;810532;;12584;6182;211322
35449;22225;840925;;13589;6849;199216
36038;22587;820028;;14694;7800;311150
36511;22884;875702;;14144;7124;160454
37017;23198;889600;;13722;6580;439023
37586;23527;1081399;;13869;6903;282479
38275;23969;977622;;13543;6110;220161
39021;24428;920405;;14636;7152;257950
39375;24640;941760;;14887;7664;205393
40058;25067;1054149;;14330;7108;192730
40600;25391;1008404;;15522;7840;298106
41199;25772;864587;;16246;8465;230129
41831;26167;994378;;14725;7037;422744
42290;26452;1264782;;15955;7851;255948
42917;26832;928183;;15370;7671;298494
43437;27130;1218025;;16158;8216;238209
44086;27553;983454;;16712;8285;303281
44535;27808;1144951;;16730;8254;284381
45261;28260;1040986;;17835;9493;303615
45728;28566;989763;;16763;8283;321298
46246;28867;1338078;;17524;8894;209685
46820;29233;1106385;;17389;8501;410950
47370;29556;1094696;;16687;8121;250753
47901;29890;1146361;;17034;8394;185030
48633;30356;1211317;;17848;8810;195571
49071;30622;1187216;;18638;9427;234745
49703;31009;1115110;;18567;9437;343625
50420;31450;1349685;;18453;9399;208427
50754;31659;1115353;;18547;9183;343067
51529;32140;982909;;19640;10185;472135
51928;32380;1288029;;19269;9732;214922
52432;32686;1297605;;18767;9301;206980
52921;32980;1247798;;17838;8157;225055
53808;33541;1329631;;19854;10175;224211
54447;33928;1360807;;19738;9935;215190
54922;34232;1154179;;19011;9186;236205
55646;34673;1144638;;21146;10858;428854
56043;34911;1335001;;18995;8981;243906
