100;;412;284;8955;;296;170;4184
200;;903;601;160593;;488;278;6284
300;;1401;931;26088;;607;326;7310
400;;1911;1246;35074;;1184;634;14057
500;;2439;1580;57548;;1334;701;15976
600;;2941;1911;98288;;1653;866;21364
700;;3487;2259;100714;;1463;742;17833
800;;4033;2597;109675;;1973;1044;23619
900;;4580;2938;249060;;1887;1014;62321
1000;;5142;3279;87397;;2182;1089;127066
1100;;5666;3623;136015;;2581;1259;29051
1200;;6191;3958;105568;;2669;1310;31460
1300;;6732;4306;224171;;2921;1438;31855
1400;;7289;4660;123242;;3039;1514;33700
1500;;7832;4987;185798;;3491;1785;39967
1600;;8374;5336;223398;;3681;1829;42123
1700;;8943;5682;181467;;3658;1818;143022
1800;;9525;6048;321076;;3900;2071;44826
1900;;10086;6391;256875;;4352;2076;48046
2000;;10648;6728;175126;;4370;2360;49811
2100;;11240;7094;375748;;4795;2457;54642
2200;;11734;7417;192770;;4952;2539;58255
2300;;12336;7793;384381;;5144;2633;132850
2400;;12824;8104;248397;;5165;2695;59771
2500;;13378;8458;303184;;5323;2779;62290
2600;;13931;8813;310671;;5105;2616;57129
2700;;14561;9210;281478;;6372;3095;70446
2800;;14991;9471;326390;;6149;3182;70119
2900;;15609;9857;257635;;6007;2990;105928
3000;;16183;10207;290826;;6332;3173;124594
3100;;16698;10536;352526;;6703;3310;74699
3200;;17209;10857;325668;;6553;3265;73714
3300;;17827;11243;534215;;7454;3750;84040
3400;;18406;11593;455221;;7364;3665;83231
3500;;18966;11937;310492;;7029;3560;78928
3600;;19443;12232;394000;;7812;3831;158821
3700;;20165;12680;510939;;7683;3868;123405
3800;;20711;13021;419394;;7848;3958;88684
3900;;21252;13342;457480;;8411;4024;211819
4000;;21913;13753;436447;;9149;4456;102604
4100;;22350;14026;556791;;8862;4580;122801
4200;;22978;14414;525728;;8999;4459;99619
4300;;23561;14776;590062;;9331;4695;103734
4400;;24087;15102;397408;;8642;4542;101024
4500;;24731;15509;479619;;9657;4581;106431
4600;;25190;15795;714306;;9703;4790;107793
4700;;25779;16157;503630;;10319;5133;142208
4800;;26477;16596;516099;;9867;5298;125170
4900;;26910;16854;438304;;10516;5336;117948
5000;;27515;17235;495505;;11196;5536;174428
5100;;28076;17586;481336;;10496;5431;118030
5200;;28543;17877;532027;;10897;5250;117610
5300;;29155;18268;475167;;10753;5464;121527
5400;;29727;18634;553724;;11598;5834;167047
5500;;30361;19038;499863;;11957;6017;198411
5600;;30853;19338;667919;;11573;5874;128179
5700;;31423;19683;575044;;11835;6002;135929
5800;;31857;19950;628111;;12693;6334;179376
5900;;32391;20281;584537;;12805;6410;183424
6000;;33089;20716;582816;;12618;6336;140465
6100;;33785;21153;915526;;12757;6582;184733
6200;;34195;21408;651361;;14194;6712;163529
6300;;34831;21820;678455;;12669;6415;145071
6400;;35252;22077;757429;;13938;6751;152445
6500;;35947;22516;653504;;14989;6999;162696
6600;;36609;22936;690582;;13281;6618;146419
6700;;37062;23192;680192;;13203;6784;152855
6800;;37514;23489;699692;;14772;7246;163129
6900;;38280;23954;891318;;15450;7357;189780
7000;;38804;24268;829002;;14898;7393;183599
7100;;39401;24641;714510;;14576;7268;165679
7200;;39781;24868;739669;;15965;7665;173093
7300;;40649;25408;783740;;14808;7581;164188
7400;;41152;25706;709215;;15421;7913;183987
7500;;41724;26067;721130;;15122;7814;207544
7600;;42261;26392;690107;;16492;8104;258607
7700;;42886;26795;817168;;16901;8089;183989
7800;;43538;27193;938497;;16774;8389;187378
7900;;43957;27436;1052219;;16487;8210;182362
8000;;44579;27823;898373;;17199;8141;189130
8100;;45310;28276;872480;;15812;8127;253958
8200;;45634;28469;830551;;17650;8525;304848
8300;;46321;28890;957747;;16854;8596;235258
8400;;46655;29099;801477;;17985;8792;270010
8500;;47345;29521;983565;;18193;8779;197964
8600;;47933;29897;1026352;;18109;9016;215430
8700;;48696;30365;875087;;18844;9140;210975
8800;;49319;30758;860841;;17799;8869;305642
8900;;49745;31009;818030;;17631;8987;240570
9000;;50338;31380;976898;;18625;9229;204672
9100;;50952;31755;923597;;18287;9284;204097
9200;;51497;32092;831727;;19598;9817;255624
9300;;52092;32468;1008325;;19840;9698;221363
9400;;52512;32718;939979;;18830;9429;243313
9500;;53221;33171;987461;;19934;9840;248860
9600;;53768;33504;907266;;20252;9688;326880
9700;;54290;33819;1002527;;19395;10103;256609
9800;;54909;34196;915072;;20947;10068;232992
9900;;55570;34592;958837;;20034;9996;263040
10000;;56181;34973;1024055;;21294;10324;327029
