1000;450.258;1804.13;1264.83;130.333;158.667;600.8;
2000;449.279;1233.67;1386.1;240.033;158.733;678.967;
3000;449.266;1285.3;1311.87;318.667;170.033;694.533;
4000;462.166;1302.83;1209.97;339.967;170.6;713.3;
5000;475.889;1390.97;1265.07;351.3;165;738.367;
6000;492.504;1411.5;1151.27;290.267;165.067;750.733;
7000;484.335;32819.5;1289.87;294.633;169.7;810.5;
8000;478.166;1449.37;1181.03;298.3;178.667;787.567;
9000;487.223;1367.6;1292.53;263.833;168.033;812.933;
10000;487.584;2334.67;1151.63;282.967;171;823.3;
11000;501.444;1484.57;1247.37;316.2;169.333;850.6;
12000;549.894;1513.67;1290.37;359.367;171.333;872.567;
13000;551.301;1511.23;1251.27;340.9;162.567;869.167;
14000;545.613;1578.27;1276.07;330;175.7;908.4;
15000;596.856;1700.97;1708.8;333.667;172.367;897.367;
16000;543.899;1601.33;1125.83;207.333;183.033;926.533;
17000;525.121;1600.73;1160.37;305.567;196.333;922.4;
18000;540.103;1597.07;1193.97;229.333;175.1;897.133;
19000;541.429;2401.1;1256;308.2;173.567;916.167;
20000;550.906;1650.77;1142.17;247.733;177.733;886.3;
21000;541.863;1641.73;1229.6;269.433;184.733;893.667;
22000;556.911;1681.5;1293.07;332.533;185;1255.4;
23000;574.864;1701.03;1392.73;327.1;188;989.667;
24000;570.984;1931.7;1241.23;295.1;181.367;959.967;
25000;580.158;1746.13;1292.77;291.933;189.733;959.833;
26000;586.35;1777.6;1286.1;235.033;170.667;965.3;
27000;591.85;1712.83;1238.37;250.333;184.333;995.167;
28000;543.265;1713.37;1240.63;248.767;178.367;968.3;
29000;578.412;1726.27;1257;240.567;176.333;998.5;
30000;592.013;1705.83;1238.93;255.567;180;991.6;
31000;584.052;2049.57;1408.57;339.633;65771.7;1375.83;
32000;606.822;1797.07;1623.37;375.233;183;1331.47;
33000;559.282;1673.13;1332.87;327.067;182.333;958.333;
34000;576.976;37651.9;1251.43;335.733;183.633;954.233;
35000;578.305;32563.1;1503.6;461.333;194.633;1148.83;
36000;596.776;1878.73;1455.27;376.967;197.067;993.1;
37000;576.12;1674.03;1316.8;304.967;185.7;973.567;
38000;570.042;1653.53;1336.27;331.567;183;984.6;
39000;576.107;1793.03;1363.93;355;193.767;992.6;
40000;581.968;1706.83;1251.07;312.067;185.967;992.633;
41000;577.944;1741.8;1418.4;335.9;207.733;976;
42000;576.785;34667.3;1215.3;250.433;180.867;965.4;
43000;572.153;1780.9;1440.57;364.833;190.033;1025.23;
44000;585.131;1761.9;1298.67;285.367;184.033;1069.3;
45000;568.322;1726.53;1283.13;264.8;180.033;1021.97;
46000;631.922;1877.87;1490.43;391.467;193.3;1029.27;
47000;636.507;1999.73;1384.23;338.667;186;1152.4;
48000;719.466;1835.87;1461.73;400.367;197.333;1033.3;
49000;609.323;39902.2;1419.9;1090.83;221.333;1089.4;
50000;564.703;1725.9;1292.73;300.1;186.333;989.3;
51000;570.433;3718.8;1310.83;324.133;195.733;1041.03;
52000;574.647;1739.87;1343.87;307.967;177.267;1008.87;
53000;572.724;1758.3;1800.77;346.667;202.2;1017.8;
54000;581.961;1731.2;1310.03;342.567;192.967;1012.47;
55000;605.676;1960;1668.1;395.633;194.367;1033.3;
56000;618.981;1909.1;1546.2;322.533;190.033;1066.23;
57000;600.165;2086.27;1311.9;284.5;190.733;1232.93;
58000;627.54;1826.23;1247;219.733;186.267;1120.1;
59000;588.604;1865.83;1414.63;298.233;191.633;1080.77;
60000;636.557;1779.37;1453.53;404.9;194.767;1027.8;
61000;620.226;1859.8;1525.13;353.433;202.367;1104.13;
62000;628.893;33941.5;1429.43;32256.9;258.2;1248.2;
63000;631.057;2756.2;1389.2;320.467;188.667;1068.97;
64000;681.491;1838.57;1460.83;350.367;194;1067;
65000;664.069;1870.33;1416.03;307.6;190.367;1068.6;
66000;660.949;1938.9;1532.9;417.233;204.233;1051.67;
67000;613.18;1825.03;1404.93;391.7;195.633;1037.37;
68000;605.926;1806.77;2293.97;339.167;195.4;1061.07;
69000;633.171;33487.1;1411.63;300.9;188.333;1099.17;
